HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Ross County,Kilmarnock,1,0,H,0,0,D,8,14,5,2,15,16,1,7,3,4,1,0
St Johnstone,Aberdeen,0,1,A,0,0,D,7,15,1,4,18,12,5,5,5,0,0,0
Celtic,Hearts,2,0,H,1,0,H,15,4,7,0,11,12,4,6,0,3,0,2
Aberdeen,Livingston,5,0,H,1,0,H,20,7,6,3,2,11,8,3,0,4,0,1
Kilmarnock,Motherwell,2,1,H,0,1,A,21,10,4,6,11,20,8,4,2,1,0,0
Rangers,Ross County,4,0,H,2,0,H,31,4,13,0,10,10,7,1,2,2,0,0
St Mirren,Hibernian,1,0,H,1,0,H,14,14,2,1,8,12,4,10,1,3,0,0
Dundee United,Celtic,0,9,A,0,4,A,6,30,2,13,6,7,2,11,1,0,0,0
Hearts,St Johnstone,3,2,H,2,1,H,27,9,6,5,9,13,3,4,0,4,0,0
Celtic,Rangers,4,0,H,3,0,H,15,11,6,2,12,11,3,4,3,3,0,0
Hibernian,Kilmarnock,1,0,H,1,0,H,25,7,8,1,12,10,7,3,2,3,0,1
Livingston,Hearts,1,0,H,1,0,H,12,6,6,0,13,13,3,3,4,2,0,0
Motherwell,Dundee United,0,0,D,0,0,D,21,11,5,3,16,15,3,6,2,1,0,0
Ross County,Aberdeen,1,1,D,0,0,D,11,11,2,5,8,5,3,13,0,2,0,0
St Johnstone,St Mirren,3,0,H,1,0,H,9,10,4,2,4,15,1,9,2,5,0,0
Hibernian,Aberdeen,3,1,H,1,1,D,25,5,8,1,19,14,10,2,2,4,0,1
Livingston,Kilmarnock,1,0,H,1,0,H,9,3,1,1,14,12,5,4,1,2,0,0
Rangers,Dundee United,2,1,H,1,0,H,17,10,6,5,10,8,7,4,3,2,0,0
St Johnstone,Ross County,0,0,D,0,0,D,15,9,1,1,9,12,5,3,4,2,0,0
St Mirren,Celtic,2,0,H,1,0,H,4,18,2,4,15,11,6,7,3,2,0,0
Motherwell,Hearts,0,3,A,0,1,A,25,10,5,6,12,13,6,2,3,2,0,0
Hearts,Rangers,0,4,A,0,2,A,7,20,1,7,11,12,5,7,1,2,1,0
Aberdeen,Kilmarnock,4,1,H,3,1,H,16,7,8,3,12,11,5,5,1,2,0,0
Celtic,Motherwell,2,1,H,1,1,D,17,7,6,2,10,9,7,4,1,4,1,0
Dundee United,St Johnstone,1,2,A,0,2,A,19,12,6,3,11,11,9,0,5,3,0,0
Ross County,Hibernian,0,2,A,0,0,D,9,24,2,9,13,14,6,11,1,0,0,0
St Mirren,Livingston,2,1,H,0,0,D,8,10,3,3,16,11,6,7,3,1,1,0
Ross County,Motherwell,0,5,A,0,1,A,9,11,1,6,16,13,4,3,3,2,0,0
Kilmarnock,St Johnstone,2,1,H,1,0,H,11,15,2,5,16,16,5,5,0,3,0,0
St Johnstone,Celtic,1,2,A,0,1,A,8,11,3,4,14,10,2,8,3,3,0,0
Hibernian,Motherwell,1,0,H,0,0,D,14,9,5,1,16,10,3,7,2,4,0,1
Livingston,Ross County,0,1,A,0,0,D,22,5,3,1,10,18,9,2,0,3,0,0
Rangers,St Mirren,4,0,H,2,0,H,19,9,8,3,10,10,8,5,0,2,0,0
Dundee United,Aberdeen,4,0,H,2,0,H,14,14,8,1,9,13,5,1,2,1,0,0
Kilmarnock,Hearts,2,2,D,0,0,D,14,11,6,5,21,13,6,3,2,1,0,0
Dundee United,Hibernian,1,0,H,1,0,H,9,18,1,7,11,13,5,10,5,2,0,0
Celtic,Hibernian,6,1,H,3,0,H,20,9,9,5,17,7,7,2,1,0,0,0
Livingston,St Johnstone,1,0,H,1,0,H,14,10,4,3,20,18,8,2,3,3,0,0
Ross County,Dundee United,1,1,D,1,0,H,6,14,1,3,12,11,4,10,1,0,0,0
St Mirren,Kilmarnock,0,0,D,0,0,D,14,14,3,4,20,12,6,8,3,2,0,0
Motherwell,Rangers,1,2,A,0,0,D,5,7,2,4,15,18,3,3,3,4,0,0
Aberdeen,Hearts,2,0,H,0,0,D,16,13,5,3,11,16,4,1,3,3,0,0
Hibernian,St Johnstone,1,2,A,1,0,H,15,7,5,5,17,10,1,1,4,1,1,0
Hearts,Celtic,3,4,A,1,1,D,15,11,7,6,9,15,3,6,2,1,0,0
Kilmarnock,Ross County,1,0,H,1,0,H,11,10,6,4,9,9,5,7,2,2,0,0
Motherwell,Aberdeen,1,2,A,0,1,A,12,7,4,3,14,8,4,0,3,2,0,0
Rangers,Livingston,1,1,D,0,1,A,24,5,3,1,9,12,14,1,2,2,0,1
