HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Juventus,Venezia,2,1,H,1,0,H,17,9,4,3,17,12,8,4,3,3,0,0
Empoli,Torino,1,3,A,0,0,D,11,13,4,3,14,11,5,4,5,2,2,0
Milan,Fiorentina,1,0,H,0,0,D,13,8,2,2,17,17,2,2,1,3,0,0
Udinese,Inter,1,2,A,0,2,A,7,12,3,5,12,10,5,11,2,1,0,0
Roma,Bologna,0,0,D,0,0,D,17,10,5,4,10,9,10,5,0,1,0,0
Atalanta,Salernitana,1,1,D,0,1,A,20,11,5,9,13,9,11,4,3,2,0,0
Salernitana,Venezia,2,1,H,1,0,H,19,10,4,4,12,17,6,4,2,7,0,1
Inter,Empoli,4,2,H,2,2,D,37,4,10,2,10,9,15,2,1,0,0,0
Genoa,Juventus,2,1,H,0,0,D,18,12,6,4,13,15,9,2,2,3,0,0
Torino,Napoli,0,1,A,0,0,D,10,11,3,6,18,11,6,4,2,3,0,0
Sassuolo,Udinese,1,1,D,1,0,H,15,13,6,6,10,18,6,9,2,2,0,0
Lazio,Sampdoria,2,0,H,1,0,H,16,9,10,2,9,9,6,0,1,1,0,0
Spezia,Atalanta,1,3,A,1,1,D,5,17,1,6,10,12,0,3,2,3,0,0
Venezia,Bologna,4,3,H,2,1,H,18,23,9,10,10,13,4,8,2,4,0,0
Salernitana,Cagliari,1,1,D,0,0,D,13,9,2,3,12,17,7,6,5,2,1,1
Verona,Milan,1,3,A,1,1,D,10,18,3,8,15,7,5,8,2,1,0,0
Fiorentina,Roma,2,0,H,2,0,H,12,6,7,1,16,11,5,3,3,1,0,0
Empoli,Salernitana,1,1,D,1,0,H,16,28,6,9,18,8,3,11,2,2,0,0
Udinese,Spezia,2,3,A,1,2,A,17,10,6,6,19,10,4,2,3,2,0,0
Verona,Torino,0,1,A,0,1,A,10,11,5,5,17,18,4,4,4,2,0,0
Roma,Venezia,1,1,D,0,1,A,46,4,16,2,11,14,20,2,2,5,0,1
Bologna,Sassuolo,1,3,A,0,1,A,8,16,2,7,9,10,4,9,0,1,0,0
Napoli,Genoa,3,0,H,1,0,H,17,11,9,3,13,15,9,2,1,1,0,0
Milan,Atalanta,2,0,H,0,0,D,12,12,6,2,8,14,4,6,3,2,0,0
Cagliari,Inter,1,3,A,0,1,A,10,17,2,7,12,15,2,5,0,2,0,0
Sampdoria,Fiorentina,4,1,H,2,0,H,12,12,5,1,18,9,4,5,2,3,1,0
Juventus,Lazio,2,2,D,2,0,H,4,18,2,7,16,13,0,9,3,3,0,0
Torino,Roma,0,3,A,0,2,A,13,14,2,6,10,10,5,6,2,2,0,0
Genoa,Bologna,0,1,A,0,0,D,18,11,5,4,17,10,9,9,3,1,0,0
Atalanta,Empoli,0,1,A,0,0,D,40,7,10,3,6,7,15,2,1,1,0,0
Fiorentina,Juventus,2,0,H,1,0,H,13,1,4,0,13,14,6,2,3,3,0,0
Lazio,Verona,3,3,D,2,2,D,19,10,7,7,9,19,6,4,2,6,0,0
Spezia,Napoli,0,3,A,0,3,A,16,10,4,4,10,9,4,2,1,2,0,0
Inter,Sampdoria,3,0,H,0,0,D,27,9,12,3,6,12,8,2,1,2,0,0
Sassuolo,Milan,0,3,A,0,3,A,15,18,3,12,8,13,3,7,2,1,0,0
Salernitana,Udinese,0,4,A,0,3,A,25,19,10,11,11,12,7,1,1,1,0,0
Venezia,Cagliari,0,0,D,0,0,D,7,31,1,7,6,19,6,11,0,3,0,0
Fiorentina,Torino,1,0,H,0,0,D,17,6,8,3,17,20,4,1,3,1,0,0
Verona,Roma,0,0,D,0,0,D,9,15,7,7,19,20,0,6,2,0,0,0
Parma,Napoli,0,2,A,0,0,D,4,12,2,7,16,12,4,2,4,1,0,0
Genoa,Crotone,4,1,H,3,1,H,10,11,8,5,13,14,6,4,4,2,0,0
Sassuolo,Cagliari,1,1,D,0,0,D,21,8,10,4,9,18,7,3,1,3,0,0
Juventus,Sampdoria,3,0,H,1,0,H,14,10,9,2,15,9,6,4,1,1,0,0
Milan,Bologna,2,0,H,1,0,H,14,6,6,5,13,17,7,4,3,5,0,1
Torino,Atalanta,2,4,A,2,3,A,5,12,5,7,11,12,2,6,1,2,0,0
Cagliari,Lazio,0,2,A,0,1,A,9,9,3,7,8,13,3,6,1,1,0,0
Sampdoria,Benevento,2,3,A,2,1,H,5,11,4,6,17,12,6,4,3,1,0,0
Inter,Fiorentina,4,3,H,1,1,D,12,8,6,4,15,10,5,1,1,1,0,0
Spezia,Sassuolo,1,4,A,1,1,D,11,10,6,8,13,8,3,5,2,1,0,0
Napoli,Genoa,6,0,H,1,0,H,18,3,11,1,6,13,4,2,1,2,0,0
Verona,Udinese,1,0,H,0,0,D,8,14,2,6,13,13,1,9,1,0,0,0
Crotone,Milan,0,2,A,0,1,A,5,11,1,7,14,15,2,5,1,3,0,0
Roma,Juventus,2,2,D,2,1,H,7,6,6,3,19,9,5,7,2,3,0,1
Bologna,Parma,4,1,H,2,0,H,11,8,8,4,12,9,8,9,1,2,0,1
Benevento,Inter,2,5,A,1,4,A,11,18,7,12,10,15,5,1,1,0,0,0
Udinese,Spezia,0,2,A,0,1,A,10,4,5,3,13,17,2,2,0,5,0,1
Lazio,Atalanta,1,4,A,0,3,A,11,8,8,6,16,11,7,3,7,2,0,0
Fiorentina,Sampdoria,1,2,A,0,1,A,16,14,6,10,11,16,8,4,0,3,0,0
Sassuolo,Crotone,4,1,H,1,0,H,7,10,4,6,15,15,3,4,2,3,0,0
