HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Panetolikos,Aris,3,1,H,1,1,D,9,14,3,5,14,13,1,4,2,1,1,0
OFI Crete,Panathinaikos,0,2,A,0,2,A,4,10,1,5,14,13,1,3,2,1,0,0
PAOK,Atromitos,2,1,H,1,0,H,14,6,4,4,12,17,8,3,1,4,0,1
Asteras Tripolis,Olympiakos,0,0,D,0,0,D,3,16,1,1,19,12,0,10,4,1,0,0
Lamia,Asteras Tripolis,0,0,D,0,0,D,12,9,4,3,0,0,5,3,0,1,0,0
Olympiakos,Ionikos,3,1,H,2,0,H,12,9,3,2,12,15,4,4,0,1,0,0
Panathinaikos,Levadeiakos,1,0,H,1,0,H,11,4,3,1,12,18,4,5,1,6,0,1
Atromitos,Panetolikos,1,1,D,0,1,A,13,5,3,1,11,15,9,2,2,4,0,0
Volos NFC,OFI Crete,0,1,A,0,1,A,13,4,1,1,16,14,5,2,2,4,0,1
AEK,Giannina,2,0,H,1,0,H,10,7,5,0,16,15,5,3,2,1,0,0
Aris,PAOK,0,0,D,0,0,D,14,7,3,2,12,25,9,5,4,3,1,1
OFI Crete,Panetolikos,1,2,A,1,1,D,10,10,5,5,15,10,3,2,3,1,0,0
Giannina,Levadeiakos,2,1,H,1,1,D,15,7,7,3,12,14,4,1,1,3,0,0
Ionikos,Atromitos,1,4,A,1,0,H,13,11,6,10,13,8,3,0,3,2,0,0
Olympiakos,Volos NFC,1,1,D,0,1,A,18,5,4,1,12,7,7,2,4,1,0,0
Asteras Tripolis,Aris,0,2,A,0,1,A,18,8,6,5,10,10,10,1,1,2,0,1
Panathinaikos,AEK,2,1,H,2,1,H,12,10,5,3,12,16,5,2,3,3,0,0
PAOK,Lamia,1,0,H,1,0,H,13,6,3,3,14,11,6,3,2,2,0,1
Atromitos,Lamia,0,0,D,0,0,D,14,9,1,3,7,19,6,1,2,3,0,0
Panetolikos,AEK,0,2,A,0,0,D,6,18,0,4,13,19,0,7,2,3,0,0
Panathinaikos,Giannina,3,0,H,1,0,H,15,9,6,3,14,13,7,3,0,3,0,0
Levadeiakos,Asteras Tripolis,1,1,D,0,0,D,9,12,4,5,15,16,0,3,3,1,0,0
