HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Bayern Munich,FC Koln,2,0,H,0,0,D,17,11,7,5,3,15,5,5,0,3,0,0
Bochum,Heidenheim,1,1,D,0,0,D,24,10,5,3,12,22,6,2,4,1,0,0
Mainz,Hoffenheim,4,1,H,0,1,A,23,5,8,1,12,14,9,3,0,2,0,0
M'gladbach,Dortmund,1,2,A,1,2,A,16,12,5,4,13,11,2,4,1,4,0,1
RB Leipzig,Wolfsburg,3,0,H,1,0,H,15,10,6,3,12,7,6,4,2,4,0,0
Stuttgart,Ein Frankfurt,3,0,H,3,0,H,9,10,6,3,4,15,4,5,1,3,0,0
Darmstadt,Freiburg,0,1,A,0,1,A,16,9,4,3,6,12,2,2,0,1,0,0
Leverkusen,Werder Bremen,5,0,H,1,0,H,19,7,10,3,10,4,7,0,2,1,0,0
Ein Frankfurt,Augsburg,3,1,H,0,1,A,12,6,7,1,2,19,6,5,3,3,0,0
FC Koln,Darmstadt,0,2,A,0,0,D,18,12,4,6,10,13,4,3,0,1,0,0
Heidenheim,RB Leipzig,1,2,A,0,1,A,9,11,5,4,14,7,2,6,3,1,0,0
Hoffenheim,M'gladbach,4,3,H,1,1,D,27,13,9,7,6,11,6,5,1,3,0,0
Wolfsburg,Bochum,1,0,H,1,0,H,10,9,5,1,11,16,5,8,4,3,0,0
Union Berlin,Bayern Munich,1,5,A,0,2,A,15,18,4,9,5,4,5,3,0,0,0,0
Werder Bremen,Stuttgart,2,1,H,1,0,H,9,14,2,5,11,10,1,7,3,3,0,0
Dortmund,Leverkusen,1,1,D,0,0,D,9,13,2,5,14,11,2,6,4,3,0,0
Freiburg,Mainz,1,1,D,1,1,D,7,17,3,4,17,15,2,4,3,4,0,0
Ein Frankfurt,Bayern Munich,1,6,A,0,5,A,8,23,2,10,10,11,5,6,2,0,0,0
Augsburg,Freiburg,0,4,A,0,0,D,10,19,2,7,13,13,5,8,0,0,0,0
Bochum,Mainz,1,2,A,1,1,D,16,13,3,6,11,16,3,5,2,3,0,0
