HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Gent,Antwerp,1,2,A,1.0,2.0,A,15.0,6.0,4.0,4.0,12.0,11.0,6.0,2.0,2.0,3.0,0.0,0.0
Kortrijk,Standard,0,1,A,0.0,0.0,D,6.0,16.0,2.0,5.0,10.0,19.0,4.0,9.0,4.0,3.0,1.0,0.0
St. Gilloise,Anderlecht,2,1,H,2.0,1.0,H,11.0,9.0,6.0,5.0,11.0,8.0,7.0,7.0,3.0,1.0,0.0,0.0
Westerlo,Eupen,0,1,A,0.0,0.0,D,7.0,15.0,5.0,2.0,10.0,15.0,5.0,10.0,2.0,1.0,0.0,0.0
Antwerp,St. Gilloise,4,2,H,4.0,1.0,H,10.0,8.0,4.0,3.0,11.0,10.0,4.0,3.0,2.0,0.0,0.0,2.0
Anderlecht,Gent,0,1,A,0.0,0.0,D,10.0,10.0,1.0,5.0,10.0,13.0,5.0,3.0,2.0,2.0,0.0,0.0
Club Brugge,Cercle Brugge,4,0,H,1.0,0.0,H,8.0,13.0,4.0,2.0,10.0,18.0,7.0,4.0,1.0,2.0,0.0,0.0
Genk,St Truiden,0,0,D,0.0,0.0,D,17.0,8.0,4.0,3.0,13.0,12.0,8.0,6.0,1.0,3.0,0.0,0.0
Eupen,Kortrijk,0,1,A,0.0,0.0,D,21.0,14.0,5.0,3.0,16.0,7.0,8.0,4.0,5.0,3.0,0.0,0.0
Mechelen,Seraing,2,3,A,2.0,1.0,H,8.0,6.0,5.0,2.0,14.0,17.0,9.0,3.0,2.0,2.0,0.0,0.0
Standard,Oostende,1,0,H,0.0,0.0,D,15.0,14.0,5.0,5.0,10.0,7.0,5.0,4.0,2.0,2.0,0.0,0.0
Anderlecht,Oud-Heverlee Leuven,2,2,D,0.0,1.0,A,21.0,12.0,6.0,4.0,11.0,13.0,12.0,2.0,3.0,1.0,0.0,0.0
Antwerp,Westerlo,3,0,H,1.0,0.0,H,12.0,11.0,3.0,3.0,10.0,8.0,3.0,6.0,0.0,2.0,0.0,0.0
Charleroi,Gent,2,1,H,1.0,1.0,D,14.0,9.0,7.0,1.0,6.0,6.0,4.0,4.0,2.0,0.0,0.0,1.0
Waregem,St. Gilloise,1,3,A,0.0,1.0,A,9.0,12.0,1.0,4.0,14.0,16.0,7.0,3.0,3.0,3.0,0.0,1.0
St Truiden,Standard,1,2,A,0.0,2.0,A,22.0,11.0,5.0,2.0,12.0,14.0,7.0,0.0,0.0,3.0,0.0,0.0
Kortrijk,Mechelen,1,4,A,0.0,2.0,A,12.0,10.0,3.0,5.0,7.0,13.0,10.0,3.0,3.0,5.0,0.0,0.0
Oostende,Eupen,1,0,H,0.0,0.0,D,10.0,13.0,5.0,3.0,14.0,19.0,3.0,6.0,5.0,3.0,1.0,0.0
Seraing,Club Brugge,0,2,A,0.0,0.0,D,4.0,11.0,1.0,4.0,20.0,9.0,2.0,1.0,4.0,2.0,0.0,0.0
Oud-Heverlee Leuven,Charleroi,3,2,H,1.0,1.0,D,10.0,7.0,4.0,5.0,10.0,14.0,2.0,1.0,1.0,4.0,0.0,0.0
Westerlo,Anderlecht,2,1,H,1.0,0.0,H,13.0,12.0,6.0,3.0,9.0,15.0,1.0,6.0,2.0,3.0,0.0,0.0
Cercle Brugge,Antwerp,0,2,A,0.0,1.0,A,13.0,11.0,6.0,4.0,9.0,13.0,3.0,3.0,1.0,3.0,0.0,0.0
St. Gilloise,Genk,1,2,A,0.0,1.0,A,10.0,14.0,3.0,4.0,14.0,12.0,4.0,5.0,4.0,3.0,0.0,0.0
Gent,Waregem,2,0,H,0.0,0.0,D,23.0,5.0,6.0,1.0,7.0,10.0,4.0,4.0,0.0,2.0,0.0,0.0
Antwerp,Seraing,2,1,H,2.0,1.0,H,12.0,10.0,4.0,2.0,12.0,12.0,5.0,3.0,3.0,2.0,0.0,0.0
Mechelen,Oud-Heverlee Leuven,0,0,D,0.0,0.0,D,12.0,10.0,2.0,1.0,8.0,8.0,10.0,1.0,2.0,2.0,1.0,0.0
Cercle Brugge,Oostende,2,2,D,2.0,0.0,H,18.0,16.0,6.0,7.0,11.0,10.0,10.0,7.0,1.0,3.0,0.0,0.0
Waregem,St Truiden,0,3,A,0.0,1.0,A,4.0,18.0,2.0,8.0,13.0,15.0,0.0,4.0,1.0,3.0,1.0,0.0
Charleroi,Westerlo,2,3,A,1.0,2.0,A,14.0,7.0,4.0,3.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Genk,Gent,1,0,H,0.0,0.0,D,10.0,9.0,6.0,0.0,13.0,11.0,5.0,5.0,2.0,2.0,0.0,0.0
Eupen,St. Gilloise,1,2,A,1.0,1.0,D,9.0,12.0,4.0,3.0,8.0,19.0,5.0,5.0,3.0,2.0,1.0,0.0
Standard,Club Brugge,3,0,H,1.0,0.0,H,9.0,10.0,6.0,1.0,10.0,14.0,1.0,8.0,4.0,2.0,1.0,0.0
Anderlecht,Kortrijk,4,1,H,1.0,0.0,H,12.0,8.0,5.0,3.0,17.0,8.0,9.0,6.0,1.0,2.0,0.0,0.0
Standard,Seraing,0,2,A,0.0,1.0,A,13.0,10.0,3.0,3.0,9.0,14.0,9.0,4.0,1.0,4.0,0.0,0.0
Oud-Heverlee Leuven,St. Gilloise,0,3,A,0.0,2.0,A,8.0,11.0,2.0,6.0,7.0,15.0,6.0,8.0,2.0,3.0,0.0,0.0
Oostende,Genk,1,2,A,1.0,1.0,D,12.0,10.0,7.0,5.0,17.0,10.0,2.0,6.0,1.0,1.0,1.0,0.0
Westerlo,Waregem,2,0,H,1.0,0.0,H,9.0,12.0,4.0,3.0,12.0,11.0,5.0,12.0,3.0,3.0,0.0,0.0
Club Brugge,Mechelen,3,0,H,1.0,0.0,H,21.0,6.0,10.0,2.0,2.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0
Anderlecht,Charleroi,0,1,A,0.0,0.0,D,21.0,5.0,8.0,2.0,9.0,14.0,14.0,5.0,2.0,3.0,0.0,0.0
Gent,Cercle Brugge,3,4,A,0.0,1.0,A,12.0,14.0,7.0,5.0,15.0,15.0,6.0,4.0,3.0,5.0,0.0,0.0
Kortrijk,Antwerp,2,1,H,2.0,0.0,H,13.0,21.0,4.0,5.0,8.0,13.0,0.0,7.0,4.0,1.0,0.0,0.0
St Truiden,Eupen,0,1,A,0.0,0.0,D,22.0,8.0,6.0,4.0,8.0,13.0,10.0,1.0,1.0,2.0,0.0,0.0
