HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Metz,Montpellier,1,3,A,0,2,A,20,10,7,7,14,9,7,4,2,2,0,0
Strasbourg,Bordeaux,5,2,H,3,1,H,19,13,6,2,14,13,5,2,2,3,0,0
Troyes,Lorient,2,0,H,2,0,H,10,9,3,3,12,11,4,3,1,1,0,0
Clermont,Lens,2,2,D,1,1,D,19,9,7,2,7,13,5,3,4,5,1,0
Lyon,Reims,1,2,A,0,0,D,14,8,6,4,14,17,3,4,3,2,0,0
Nantes,Marseille,0,1,A,0,1,A,3,15,1,5,13,7,4,6,3,2,1,0
Paris SG,Nice,0,0,D,0,0,D,22,4,5,2,5,13,6,5,2,2,0,0
Rennes,Lille,1,2,A,0,2,A,10,6,2,2,12,12,3,1,2,1,0,0
Marseille,Brest,1,2,A,1,0,H,16,9,4,4,10,7,5,0,1,2,0,0
Lille,Troyes,2,1,H,0,1,A,13,7,4,3,11,9,8,6,3,4,0,0
Lens,Paris SG,1,1,D,0,0,D,18,13,7,6,12,9,8,5,2,2,0,0
St Etienne,Rennes,0,5,A,0,3,A,12,18,2,10,10,7,7,2,1,0,0,0
Lorient,Nantes,0,1,A,0,0,D,17,5,2,1,8,13,8,3,1,3,0,0
Monaco,Metz,4,0,H,2,0,H,8,6,5,0,13,13,5,4,1,2,0,0
Montpellier,Clermont,1,0,H,1,0,H,8,10,2,3,19,15,1,3,3,3,0,1
Reims,Angers,1,2,A,0,0,D,5,13,2,4,8,13,7,4,4,3,1,0
Nice,Strasbourg,0,3,A,0,1,A,12,15,5,5,9,14,9,4,3,3,0,0
Bordeaux,Lyon,2,2,D,1,2,A,12,19,5,5,11,9,3,8,0,0,0,0
Nantes,Lens,3,2,H,0,2,A,15,4,5,2,10,10,8,2,3,3,0,0
Brest,Montpellier,0,4,A,0,1,A,17,9,6,4,16,6,8,2,2,1,0,0
Reims,St Etienne,2,0,H,1,0,H,17,4,6,0,19,16,11,5,2,2,0,1
Lille,Lyon,0,0,D,0,0,D,14,13,2,2,11,15,4,3,2,6,0,0
Angers,Clermont,0,1,A,0,0,D,12,17,3,3,8,12,8,3,1,2,0,0
Metz,Lorient,4,1,H,3,0,H,5,17,3,6,10,8,3,8,2,2,0,0
Rennes,Nice,1,2,A,0,1,A,20,7,8,3,10,11,11,6,1,4,0,0
Troyes,Bordeaux,1,2,A,1,1,D,21,8,3,4,11,15,8,1,3,3,0,0
Strasbourg,Marseille,0,2,A,0,0,D,11,8,3,3,10,12,8,3,2,1,0,0
