HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Arouca,Vizela,5,0,H,2,0,H,13,9,7,3,15,11,1,2,1,2,0,0
Gil Vicente,Guimaraes,1,0,H,0,0,D,7,8,4,2,12,14,4,4,1,2,0,0
Estrela,Benfica,1,4,A,1,2,A,9,16,5,7,10,10,5,6,2,1,1,0
Sp Lisbon,Casa Pia,8,0,H,5,0,H,21,2,11,2,10,14,9,0,1,1,0,0
Rio Ave,Estoril,1,1,D,0,0,D,8,12,4,5,10,9,4,3,4,3,0,0
Sp Braga,Chaves,1,1,D,0,0,D,27,7,10,2,11,10,9,1,1,5,0,1
Portimonense,Arouca,1,2,A,0,0,D,11,8,4,3,17,10,3,2,4,1,0,0
Porto,Rio Ave,0,0,D,0,0,D,17,3,5,0,15,24,23,0,4,5,0,1
Chaves,Farense,1,1,D,0,1,A,2,15,2,7,19,15,3,6,2,4,1,0
Vizela,Guimaraes,0,1,A,0,0,D,10,19,2,3,15,15,4,9,4,2,0,0
Benfica,Gil Vicente,3,0,H,2,0,H,10,5,5,3,11,5,6,4,0,1,0,0
Estoril,Estrela,1,0,H,0,0,D,10,11,5,6,15,10,6,1,3,2,0,0
Sp Braga,Moreirense,1,0,H,1,0,H,13,8,5,1,13,16,6,1,1,2,0,0
Casa Pia,Boavista,0,0,D,0,0,D,5,4,0,0,13,14,4,3,3,1,0,0
Estrela,Portimonense,3,0,H,3,0,H,10,11,3,1,7,13,4,7,4,3,0,0
Farense,Famalicao,1,1,D,0,1,A,17,18,7,4,17,20,7,6,0,6,0,0
Moreirense,Chaves,1,0,H,0,0,D,15,10,5,4,12,10,11,4,3,2,0,0
Boavista,Estoril,2,1,H,2,0,H,7,14,3,4,16,10,7,5,5,5,0,0
Rio Ave,Casa Pia,1,0,H,0,0,D,8,6,3,1,14,20,5,3,1,3,0,0
Sp Lisbon,Sp Braga,5,0,H,2,0,H,12,7,5,1,10,10,3,7,0,0,0,0
Guimaraes,Benfica,2,2,D,1,1,D,8,6,6,3,15,9,6,11,4,3,1,0
Arouca,Porto,3,2,H,2,1,H,10,14,6,6,20,9,3,7,3,4,0,1
Gil Vicente,Vizela,0,1,A,0,1,A,16,8,4,2,13,15,8,3,3,5,0,1
Famalicao,Rio Ave,2,1,H,1,1,D,15,9,6,4,18,20,4,7,4,6,0,0
